city,version,w,lambda,jaccard
Greensboro_NC,C-3,25,8,1.000000
Greensboro_NC,C-6,25,8,1.000000
Greensboro_NC,C-9,25,8,0.777778
Greensboro_NC,C-12,25,8,0.777778
Greensboro_NC,C-15,25,8,0.777778
Greensboro_NC,C-18,25,8,0.777778
Greensboro_NC,C-21,25,8,0.777778
Greensboro_NC,C-24,25,8,0.777778
Greensboro_NC,C-27,25,8,0.777778
Greensboro_NC,C-30,25,8,0.600000
Greensboro_NC,C-33,25,8,0.600000
Greensboro_NC,C-36,25,8,0.600000
Greensboro_NC,C-39,25,8,0.600000
Greensboro_NC,C-42,25,8,0.600000
Greensboro_NC,C-45,25,8,0.600000
Greensboro_NC,C-48,25,8,0.777778
Greensboro_NC,C-51,25,8,0.600000
Greensboro_NC,C-54,25,8,0.600000
Greensboro_NC,C-57,25,8,0.600000
Greensboro_NC,C-60,25,8,0.777778
Greensboro_NC,C-63,25,8,0.600000
Greensboro_NC,C-66,25,8,0.600000
Greensboro_NC,C-69,25,8,0.600000
Greensboro_NC,C-72,25,8,0.600000
Greensboro_NC,C-75,25,8,0.600000
Greensboro_NC,C-78,25,8,0.600000
Greensboro_NC,C-81,25,8,0.600000
Greensboro_NC,C-84,25,8,0.600000
Greensboro_NC,C-87,25,8,0.777778
Greensboro_NC,C-90,25,8,0.777778
Greensboro_NC,C-93,25,8,0.777778
Greensboro_NC,C-96,25,8,0.777778
Greensboro_NC,C-99,25,8,0.777778
Greensboro_NC,C-102,25,8,0.777778
Greensboro_NC,C-105,25,8,0.777778
Greensboro_NC,C-108,25,8,0.777778
Greensboro_NC,C-111,25,8,0.777778
Greensboro_NC,C-114,25,8,0.777778
Greensboro_NC,C-117,25,8,0.777778
Greensboro_NC,C-120,25,8,0.600000
Greensboro_NC,C-123,25,8,0.600000
Greensboro_NC,C-126,25,8,0.600000
Greensboro_NC,C-129,25,8,0.600000
Greensboro_NC,C-132,25,8,0.600000
Greensboro_NC,C-135,25,8,0.600000
Greensboro_NC,C-138,25,8,0.600000
Greensboro_NC,C-141,25,8,0.600000
Greensboro_NC,C-144,25,8,0.600000
Greensboro_NC,C-147,25,8,0.600000
Greensboro_NC,C-3,25,16,1.000000
Greensboro_NC,C-6,25,16,1.000000
Greensboro_NC,C-9,25,16,0.777778
Greensboro_NC,C-12,25,16,0.777778
Greensboro_NC,C-15,25,16,0.777778
Greensboro_NC,C-18,25,16,0.777778
Greensboro_NC,C-21,25,16,0.777778
Greensboro_NC,C-24,25,16,0.777778
Greensboro_NC,C-27,25,16,0.777778
Greensboro_NC,C-30,25,16,0.454545
Greensboro_NC,C-33,25,16,0.454545
Greensboro_NC,C-36,25,16,0.454545
Greensboro_NC,C-39,25,16,0.454545
Greensboro_NC,C-42,25,16,0.523810
Greensboro_NC,C-45,25,16,0.523810
Greensboro_NC,C-48,25,16,0.777778
Greensboro_NC,C-51,25,16,0.454545
Greensboro_NC,C-54,25,16,0.454545
Greensboro_NC,C-57,25,16,0.454545
Greensboro_NC,C-60,25,16,0.684211
Greensboro_NC,C-63,25,16,0.454545
Greensboro_NC,C-66,25,16,0.454545
Greensboro_NC,C-69,25,16,0.454545
Greensboro_NC,C-72,25,16,0.454545
Greensboro_NC,C-75,25,16,0.454545
Greensboro_NC,C-78,25,16,0.454545
Greensboro_NC,C-81,25,16,0.454545
Greensboro_NC,C-84,25,16,0.454545
Greensboro_NC,C-87,25,16,0.684211
Greensboro_NC,C-90,25,16,0.523810
Greensboro_NC,C-93,25,16,0.523810
Greensboro_NC,C-96,25,16,0.523810
Greensboro_NC,C-99,25,16,0.523810
Greensboro_NC,C-102,25,16,0.523810
Greensboro_NC,C-105,25,16,0.523810
Greensboro_NC,C-108,25,16,0.523810
Greensboro_NC,C-111,25,16,0.523810
Greensboro_NC,C-114,25,16,0.523810
Greensboro_NC,C-117,25,16,0.523810
Greensboro_NC,C-120,25,16,0.454545
Greensboro_NC,C-123,25,16,0.454545
Greensboro_NC,C-126,25,16,0.454545
Greensboro_NC,C-129,25,16,0.454545
Greensboro_NC,C-132,25,16,0.454545
Greensboro_NC,C-135,25,16,0.454545
Greensboro_NC,C-138,25,16,0.600000
Greensboro_NC,C-141,25,16,0.454545
Greensboro_NC,C-144,25,16,0.454545
Greensboro_NC,C-147,25,16,0.391304
Greensboro_NC,C-3,25,32,1.000000
Greensboro_NC,C-6,25,32,1.000000
Greensboro_NC,C-9,25,32,0.684211
Greensboro_NC,C-12,25,32,0.684211
Greensboro_NC,C-15,25,32,0.684211
Greensboro_NC,C-18,25,32,0.684211
Greensboro_NC,C-21,25,32,0.684211
Greensboro_NC,C-24,25,32,0.684211
Greensboro_NC,C-27,25,32,0.684211
Greensboro_NC,C-30,25,32,0.454545
Greensboro_NC,C-33,25,32,0.488372
Greensboro_NC,C-36,25,32,0.488372
Greensboro_NC,C-39,25,32,0.488372
Greensboro_NC,C-42,25,32,0.523810
Greensboro_NC,C-45,25,32,0.523810
Greensboro_NC,C-48,25,32,0.560976
Greensboro_NC,C-51,25,32,0.488372
Greensboro_NC,C-54,25,32,0.488372
Greensboro_NC,C-57,25,32,0.488372
Greensboro_NC,C-60,25,32,0.523810
Greensboro_NC,C-63,25,32,0.454545
Greensboro_NC,C-66,25,32,0.454545
Greensboro_NC,C-69,25,32,0.454545
Greensboro_NC,C-72,25,32,0.454545
Greensboro_NC,C-75,25,32,0.454545
Greensboro_NC,C-78,25,32,0.422222
Greensboro_NC,C-81,25,32,0.422222
Greensboro_NC,C-84,25,32,0.422222
Greensboro_NC,C-87,25,32,0.523810
Greensboro_NC,C-90,25,32,0.488372
Greensboro_NC,C-93,25,32,0.488372
Greensboro_NC,C-96,25,32,0.488372
Greensboro_NC,C-99,25,32,0.488372
Greensboro_NC,C-102,25,32,0.454545
Greensboro_NC,C-105,25,32,0.488372
Greensboro_NC,C-108,25,32,0.488372
Greensboro_NC,C-111,25,32,0.488372
Greensboro_NC,C-114,25,32,0.488372
Greensboro_NC,C-117,25,32,0.488372
Greensboro_NC,C-120,25,32,0.488372
Greensboro_NC,C-123,25,32,0.422222
Greensboro_NC,C-126,25,32,0.422222
Greensboro_NC,C-129,25,32,0.422222
Greensboro_NC,C-132,25,32,0.454545
Greensboro_NC,C-135,25,32,0.454545
Greensboro_NC,C-138,25,32,0.523810
Greensboro_NC,C-141,25,32,0.488372
Greensboro_NC,C-144,25,32,0.454545
Greensboro_NC,C-147,25,32,0.454545
Greensboro_NC,C-3,25,64,1.000000
Greensboro_NC,C-6,25,64,1.000000
Greensboro_NC,C-9,25,64,0.729730
Greensboro_NC,C-12,25,64,0.729730
Greensboro_NC,C-15,25,64,0.729730
Greensboro_NC,C-18,25,64,0.706667
Greensboro_NC,C-21,25,64,0.729730
Greensboro_NC,C-24,25,64,0.729730
Greensboro_NC,C-27,25,64,0.729730
Greensboro_NC,C-30,25,64,0.505882
Greensboro_NC,C-33,25,64,0.542169
Greensboro_NC,C-36,25,64,0.542169
Greensboro_NC,C-39,25,64,0.523810
Greensboro_NC,C-42,25,64,0.523810
Greensboro_NC,C-45,25,64,0.523810
Greensboro_NC,C-48,25,64,0.523810
Greensboro_NC,C-51,25,64,0.505882
Greensboro_NC,C-54,25,64,0.505882
Greensboro_NC,C-57,25,64,0.471264
Greensboro_NC,C-60,25,64,0.488372
Greensboro_NC,C-63,25,64,0.454545
Greensboro_NC,C-66,25,64,0.454545
Greensboro_NC,C-69,25,64,0.454545
Greensboro_NC,C-72,25,64,0.454545
Greensboro_NC,C-75,25,64,0.454545
Greensboro_NC,C-78,25,64,0.438202
Greensboro_NC,C-81,25,64,0.438202
Greensboro_NC,C-84,25,64,0.438202
Greensboro_NC,C-87,25,64,0.488372
