city,version,w,lambda,jaccard
Erie_PA,C-3,25,8,1.000000
Erie_PA,C-6,25,8,1.000000
Erie_PA,C-9,25,8,1.000000
Erie_PA,C-12,25,8,1.000000
Erie_PA,C-15,25,8,1.000000
Erie_PA,C-18,25,8,1.000000
Erie_PA,C-21,25,8,1.000000
Erie_PA,C-24,25,8,0.777778
Erie_PA,C-27,25,8,0.600000
Erie_PA,C-30,25,8,0.454545
Erie_PA,C-33,25,8,0.454545
Erie_PA,C-36,25,8,0.454545
Erie_PA,C-39,25,8,0.333333
Erie_PA,C-42,25,8,0.333333
Erie_PA,C-45,25,8,0.333333
Erie_PA,C-48,25,8,0.333333
Erie_PA,C-51,25,8,0.333333
Erie_PA,C-54,25,8,0.333333
Erie_PA,C-57,25,8,0.333333
Erie_PA,C-60,25,8,0.333333
Erie_PA,C-63,25,8,0.333333
Erie_PA,C-66,25,8,0.333333
Erie_PA,C-69,25,8,0.333333
Erie_PA,C-72,25,8,0.333333
Erie_PA,C-75,25,8,0.333333
Erie_PA,C-78,25,8,0.333333
Erie_PA,C-81,25,8,0.333333
Erie_PA,C-84,25,8,0.333333
Erie_PA,C-87,25,8,0.333333
Erie_PA,C-90,25,8,0.230769
Erie_PA,C-93,25,8,0.230769
Erie_PA,C-96,25,8,0.230769
Erie_PA,C-99,25,8,0.230769
Erie_PA,C-102,25,8,0.230769
Erie_PA,C-105,25,8,0.230769
Erie_PA,C-108,25,8,0.230769
Erie_PA,C-111,25,8,0.230769
Erie_PA,C-114,25,8,0.230769
Erie_PA,C-117,25,8,0.230769
Erie_PA,C-120,25,8,0.230769
Erie_PA,C-123,25,8,0.230769
Erie_PA,C-126,25,8,0.230769
Erie_PA,C-129,25,8,0.230769
Erie_PA,C-132,25,8,0.230769
Erie_PA,C-135,25,8,0.230769
Erie_PA,C-138,25,8,0.230769
Erie_PA,C-141,25,8,0.142857
Erie_PA,C-144,25,8,0.142857
Erie_PA,C-147,25,8,0.142857
Erie_PA,C-3,25,16,1.000000
Erie_PA,C-6,25,16,1.000000
Erie_PA,C-9,25,16,1.000000
Erie_PA,C-12,25,16,1.000000
Erie_PA,C-15,25,16,1.000000
Erie_PA,C-18,25,16,1.000000
Erie_PA,C-21,25,16,1.000000
Erie_PA,C-24,25,16,0.882353
Erie_PA,C-27,25,16,0.684211
Erie_PA,C-30,25,16,0.600000
Erie_PA,C-33,25,16,0.600000
Erie_PA,C-36,25,16,0.600000
Erie_PA,C-39,25,16,0.523810
Erie_PA,C-42,25,16,0.523810
Erie_PA,C-45,25,16,0.523810
Erie_PA,C-48,25,16,0.523810
Erie_PA,C-51,25,16,0.523810
Erie_PA,C-54,25,16,0.523810
Erie_PA,C-57,25,16,0.523810
Erie_PA,C-60,25,16,0.523810
Erie_PA,C-63,25,16,0.523810
Erie_PA,C-66,25,16,0.523810
Erie_PA,C-69,25,16,0.523810
Erie_PA,C-72,25,16,0.523810
Erie_PA,C-75,25,16,0.523810
Erie_PA,C-78,25,16,0.523810
Erie_PA,C-81,25,16,0.523810
Erie_PA,C-84,25,16,0.523810
Erie_PA,C-87,25,16,0.523810
Erie_PA,C-90,25,16,0.454545
Erie_PA,C-93,25,16,0.454545
Erie_PA,C-96,25,16,0.454545
Erie_PA,C-99,25,16,0.454545
Erie_PA,C-102,25,16,0.454545
Erie_PA,C-105,25,16,0.454545
Erie_PA,C-108,25,16,0.454545
Erie_PA,C-111,25,16,0.454545
Erie_PA,C-114,25,16,0.454545
Erie_PA,C-117,25,16,0.454545
Erie_PA,C-120,25,16,0.454545
Erie_PA,C-123,25,16,0.454545
Erie_PA,C-126,25,16,0.454545
Erie_PA,C-129,25,16,0.454545
Erie_PA,C-132,25,16,0.454545
Erie_PA,C-135,25,16,0.454545
Erie_PA,C-138,25,16,0.454545
Erie_PA,C-141,25,16,0.333333
Erie_PA,C-144,25,16,0.333333
Erie_PA,C-147,25,16,0.333333
Erie_PA,C-3,25,32,1.000000
Erie_PA,C-6,25,32,1.000000
Erie_PA,C-9,25,32,1.000000
Erie_PA,C-12,25,32,1.000000
Erie_PA,C-15,25,32,0.882353
Erie_PA,C-18,25,32,0.882353
Erie_PA,C-21,25,32,0.882353
Erie_PA,C-24,25,32,0.828571
Erie_PA,C-27,25,32,0.729730
Erie_PA,C-30,25,32,0.729730
Erie_PA,C-33,25,32,0.523810
Erie_PA,C-36,25,32,0.523810
Erie_PA,C-39,25,32,0.523810
Erie_PA,C-42,25,32,0.488372
Erie_PA,C-45,25,32,0.488372
Erie_PA,C-48,25,32,0.454545
Erie_PA,C-51,25,32,0.454545
Erie_PA,C-54,25,32,0.454545
