city,version,w,lambda,jaccard
Memphis_TN,C-3,25,8,1.000000
Memphis_TN,C-6,25,8,1.000000
Memphis_TN,C-9,25,8,1.000000
Memphis_TN,C-12,25,8,1.000000
Memphis_TN,C-15,25,8,1.000000
Memphis_TN,C-18,25,8,1.000000
Memphis_TN,C-21,25,8,1.000000
Memphis_TN,C-24,25,8,1.000000
Memphis_TN,C-27,25,8,1.000000
Memphis_TN,C-30,25,8,0.777778
Memphis_TN,C-33,25,8,0.777778
Memphis_TN,C-36,25,8,0.777778
Memphis_TN,C-39,25,8,0.777778
Memphis_TN,C-42,25,8,0.777778
Memphis_TN,C-45,25,8,0.777778
Memphis_TN,C-48,25,8,0.777778
Memphis_TN,C-51,25,8,0.777778
Memphis_TN,C-54,25,8,0.777778
Memphis_TN,C-57,25,8,0.777778
Memphis_TN,C-60,25,8,0.777778
Memphis_TN,C-63,25,8,0.777778
Memphis_TN,C-66,25,8,0.777778
Memphis_TN,C-69,25,8,0.777778
Memphis_TN,C-72,25,8,0.777778
Memphis_TN,C-75,25,8,0.777778
Memphis_TN,C-78,25,8,0.777778
Memphis_TN,C-81,25,8,0.333333
Memphis_TN,C-84,25,8,0.777778
Memphis_TN,C-87,25,8,0.777778
Memphis_TN,C-90,25,8,0.777778
Memphis_TN,C-93,25,8,0.777778
Memphis_TN,C-96,25,8,0.777778
Memphis_TN,C-99,25,8,0.777778
Memphis_TN,C-102,25,8,0.777778
Memphis_TN,C-105,25,8,0.777778
Memphis_TN,C-108,25,8,0.777778
Memphis_TN,C-111,25,8,0.777778
Memphis_TN,C-114,25,8,0.777778
Memphis_TN,C-117,25,8,0.777778
Memphis_TN,C-120,25,8,0.777778
Memphis_TN,C-123,25,8,0.777778
Memphis_TN,C-126,25,8,0.777778
Memphis_TN,C-129,25,8,0.777778
Memphis_TN,C-132,25,8,0.777778
Memphis_TN,C-135,25,8,0.777778
Memphis_TN,C-138,25,8,0.777778
Memphis_TN,C-141,25,8,0.777778
Memphis_TN,C-144,25,8,0.777778
Memphis_TN,C-147,25,8,0.777778
Memphis_TN,C-3,25,16,1.000000
Memphis_TN,C-6,25,16,0.882353
Memphis_TN,C-9,25,16,0.882353
Memphis_TN,C-12,25,16,0.882353
Memphis_TN,C-15,25,16,0.882353
Memphis_TN,C-18,25,16,0.882353
Memphis_TN,C-21,25,16,0.777778
Memphis_TN,C-24,25,16,0.777778
Memphis_TN,C-27,25,16,0.777778
Memphis_TN,C-30,25,16,0.777778
Memphis_TN,C-33,25,16,0.777778
Memphis_TN,C-36,25,16,0.777778
Memphis_TN,C-39,25,16,0.777778
Memphis_TN,C-42,25,16,0.777778
Memphis_TN,C-45,25,16,0.777778
Memphis_TN,C-48,25,16,0.777778
Memphis_TN,C-51,25,16,0.777778
Memphis_TN,C-54,25,16,0.777778
Memphis_TN,C-57,25,16,0.777778
Memphis_TN,C-60,25,16,0.777778
Memphis_TN,C-63,25,16,0.777778
Memphis_TN,C-66,25,16,0.777778
Memphis_TN,C-69,25,16,0.777778
Memphis_TN,C-72,25,16,0.777778
Memphis_TN,C-75,25,16,0.777778
Memphis_TN,C-78,25,16,0.777778
Memphis_TN,C-81,25,16,0.391304
Memphis_TN,C-84,25,16,0.777778
Memphis_TN,C-87,25,16,0.777778
Memphis_TN,C-90,25,16,0.777778
Memphis_TN,C-93,25,16,0.777778
Memphis_TN,C-96,25,16,0.777778
Memphis_TN,C-99,25,16,0.777778
Memphis_TN,C-102,25,16,0.777778
Memphis_TN,C-105,25,16,0.777778
Memphis_TN,C-108,25,16,0.777778
Memphis_TN,C-111,25,16,0.777778
Memphis_TN,C-114,25,16,0.777778
Memphis_TN,C-117,25,16,0.777778
Memphis_TN,C-120,25,16,0.777778
Memphis_TN,C-123,25,16,0.777778
Memphis_TN,C-126,25,16,0.777778
Memphis_TN,C-129,25,16,0.777778
Memphis_TN,C-132,25,16,0.777778
Memphis_TN,C-135,25,16,0.777778
Memphis_TN,C-138,25,16,0.777778
