city,version,w,lambda,jaccard
Las-Vegas_NV,C-3,25,8,0.777778
Las-Vegas_NV,C-6,25,8,0.777778
Las-Vegas_NV,C-9,25,8,0.777778
Las-Vegas_NV,C-12,25,8,0.777778
Las-Vegas_NV,C-15,25,8,0.777778
Las-Vegas_NV,C-18,25,8,0.777778
Las-Vegas_NV,C-21,25,8,0.777778
Las-Vegas_NV,C-24,25,8,0.777778
Las-Vegas_NV,C-27,25,8,0.777778
Las-Vegas_NV,C-30,25,8,0.777778
Las-Vegas_NV,C-33,25,8,0.777778
Las-Vegas_NV,C-36,25,8,0.777778
Las-Vegas_NV,C-39,25,8,0.777778
Las-Vegas_NV,C-42,25,8,0.777778
Las-Vegas_NV,C-45,25,8,0.777778
Las-Vegas_NV,C-48,25,8,0.777778
Las-Vegas_NV,C-51,25,8,0.777778
Las-Vegas_NV,C-54,25,8,0.777778
Las-Vegas_NV,C-57,25,8,0.777778
Las-Vegas_NV,C-60,25,8,0.777778
Las-Vegas_NV,C-63,25,8,0.777778
Las-Vegas_NV,C-66,25,8,0.777778
Las-Vegas_NV,C-69,25,8,0.777778
Las-Vegas_NV,C-72,25,8,0.777778
Las-Vegas_NV,C-75,25,8,0.777778
Las-Vegas_NV,C-78,25,8,0.777778
Las-Vegas_NV,C-81,25,8,0.777778
Las-Vegas_NV,C-84,25,8,0.777778
Las-Vegas_NV,C-87,25,8,0.777778
Las-Vegas_NV,C-90,25,8,0.777778
Las-Vegas_NV,C-93,25,8,0.777778
Las-Vegas_NV,C-96,25,8,0.777778
Las-Vegas_NV,C-99,25,8,0.777778
Las-Vegas_NV,C-102,25,8,0.777778
Las-Vegas_NV,C-105,25,8,0.777778
Las-Vegas_NV,C-108,25,8,0.777778
Las-Vegas_NV,C-111,25,8,0.454545
Las-Vegas_NV,C-114,25,8,0.454545
Las-Vegas_NV,C-117,25,8,0.454545
Las-Vegas_NV,C-120,25,8,0.454545
Las-Vegas_NV,C-123,25,8,0.454545
Las-Vegas_NV,C-126,25,8,0.454545
Las-Vegas_NV,C-129,25,8,0.454545
Las-Vegas_NV,C-132,25,8,0.454545
Las-Vegas_NV,C-135,25,8,0.454545
Las-Vegas_NV,C-138,25,8,0.454545
Las-Vegas_NV,C-141,25,8,0.600000
Las-Vegas_NV,C-144,25,8,0.600000
Las-Vegas_NV,C-147,25,8,0.600000
Las-Vegas_NV,C-3,25,16,0.777778
Las-Vegas_NV,C-6,25,16,0.777778
Las-Vegas_NV,C-9,25,16,0.777778
Las-Vegas_NV,C-12,25,16,0.777778
Las-Vegas_NV,C-15,25,16,0.777778
Las-Vegas_NV,C-18,25,16,0.777778
Las-Vegas_NV,C-21,25,16,0.777778
Las-Vegas_NV,C-24,25,16,0.777778
Las-Vegas_NV,C-27,25,16,0.777778
Las-Vegas_NV,C-30,25,16,0.777778
Las-Vegas_NV,C-33,25,16,0.777778
Las-Vegas_NV,C-36,25,16,0.777778
Las-Vegas_NV,C-39,25,16,0.777778
Las-Vegas_NV,C-42,25,16,0.777778
Las-Vegas_NV,C-45,25,16,0.777778
Las-Vegas_NV,C-48,25,16,0.777778
Las-Vegas_NV,C-51,25,16,0.777778
Las-Vegas_NV,C-54,25,16,0.777778
Las-Vegas_NV,C-57,25,16,0.777778
Las-Vegas_NV,C-60,25,16,0.777778
Las-Vegas_NV,C-63,25,16,0.777778
Las-Vegas_NV,C-66,25,16,0.777778
Las-Vegas_NV,C-69,25,16,0.777778
Las-Vegas_NV,C-72,25,16,0.777778
Las-Vegas_NV,C-75,25,16,0.777778
Las-Vegas_NV,C-78,25,16,0.777778
Las-Vegas_NV,C-81,25,16,0.777778
Las-Vegas_NV,C-84,25,16,0.777778
Las-Vegas_NV,C-87,25,16,0.777778
Las-Vegas_NV,C-90,25,16,0.777778
Las-Vegas_NV,C-93,25,16,0.777778
Las-Vegas_NV,C-96,25,16,0.777778
Las-Vegas_NV,C-99,25,16,0.777778
Las-Vegas_NV,C-102,25,16,0.777778
